,IRASPSC,F450,F450_err,F450_qual,F850,F850_err,F850_qual,alpha,alpha_ci_low,alpha_ci_hi,alpha_ci_qual
75,IRAS17119+0859,137.588,20.56094354,0,37.1,4.339999999999999,0,-2.0561864749969976,-2.7377292985870416,-1.3744914888237403,0
76,IRAS17123+1426,644.669,72.47896789999999,0,198.7,15.895999999999999,0,-1.8534370698644445,-2.3512705663077176,-1.356996686772884,0
77,IRAS17150-3224,2950.82,236.06560000000002,0,465.4,37.232,0,-2.9008069835926102,-3.311588583542399,-2.494887958742986,0
78,IRAS17239-2812,251.16099864,83.72033288,-1,18.3,2.75,0,0.486252385963008,-5.715919642707884,5.0,1
79,IRAS17265-0725,229.73254439999997,76.57751479999999,-1,17.2,2.36,0,0.5213877177650537,-5.660742427571534,5.0,1
80,IRAS17341-3453,339.43565129999996,113.14521709999998,-1,14.91,4.97,-1,,,,-99
81,IRAS17361+5746,141.41398074,47.13799358,-1,14.669999999999998,4.89,-1,,,,-99
82,IRAS17441-2411,312.3272536,48.93251693,0,74.4,5.952000000000001,0,-2.258468665115931,-2.888424961088738,-1.6238260389435197,0
83,IRAS17448-3106,405.4641144000001,135.15470480000002,-1,14.669999999999998,4.89,-1,,,,-99
84,IRAS17505-3143,339.9786795,113.32622649999999,-1,14.22,4.74,-1,,,,-99
85,IRAS17538-3728,568.7590584000001,189.58635280000001,-1,19.049999999999997,6.35,-1,,,,-99
86,IRAS17539+1037,129.298491,43.099497,-1,13.440000000000001,4.48,-1,,,,-99
87,IRAS17553+4521,545.094654,181.698218,-1,17.13,5.71,-1,,,,-99
88,IRAS17599-3653,489.56544599999995,163.188482,-1,20.759999999999998,6.92,-1,,,,-99
89,IRAS18044-2927,461.24444099999994,153.748147,-1,15.899999999999999,5.3,-1,,,,-99
90,IRAS18076-1034,208.10043360000003,69.36681120000001,-1,29.6,4.17,0,1.0220376279438224,-4.48759652065671,5.0,1
91,IRAS18162-0246,601.248903,200.416301,-1,15.39,5.13,-1,,,,-99
92,IRAS18216-1617,161.465949,53.821982999999996,-1,12.39,4.13,-1,,,,-99
93,IRAS18240+2326,601.248903,200.416301,-1,17.64,5.88,-1,,,,-99
94,IRAS18298-2111,161.465949,53.821982999999996,-1,18.3,2.3400000000000003,0,0.3468086912396806,-6.068419763963302,5.0,1
95,IRAS18303-0519,289.0893,52.707994849999984,0,142.6,11.408,0,-3.2503990222500088,-12.64499391168835,5.0,1
96,IRAS18349+1023,273.14933004,91.04977668,-1,16.5,2.68,0,1.0609604812262807,-4.286132746866398,5.0,1
